bug_id,summary,component,reporter,status,patch_date,patch_count,bugzilla_url
18705,"Document (lack of) include.only= behavior under ""reattachment"", and suggested workaround",Documentation,michaelchirico4,UNCONFIRMED,2024-04-16 05:28:37 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=18705
19035,"postscript(): PS_Open() is too pessimistic wrt R_popen(), failing in Docker on GitHub Actions",Graphics,ikrylov,NEW,2026-03-27 19:29:33 +0000,2,https://bugs.r-project.org/show_bug.cgi?id=19035
19129,Rf_EncodeString sometimes over-counts double quotes,I/O,ikrylov,NEW,2026-08-07 15:16:40 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=19129
18583,cbind.ts does not respect 'deparse.level',Language,jaganmn2,CONFIRMED,2023-08-25 15:14:28 +0000,3,https://bugs.r-project.org/show_bug.cgi?id=18583
19142,"Error for match.arg(<non-string>, ...) is not very illustrative",Language,michaelchirico4,NEW,2026-08-26 06:16:31 +0000,2,https://bugs.r-project.org/show_bug.cgi?id=19142
18096,[patch] sort() did not return ALTREP for already increasing int vectors,Low-level,gabembecker,UNCONFIRMED,2021-05-06 02:07:11 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=18096
18863,Add source locations to parser warnings,Low-level,michaelchirico4,UNCONFIRMED,2025-02-26 06:53:43 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=18863
18353,assigning to hashtab via $<- 'corrupts' table,Low-level,kevinushey,UNCONFIRMED,2025-09-12 13:10:53 +0000,2,https://bugs.r-project.org/show_bug.cgi?id=18353
19024,Add R_mapEnv as internal C helper for iterating over environment values,Low-level,kevinushey,NEW,2026-03-23 19:59:16 +0000,4,https://bugs.r-project.org/show_bug.cgi?id=19024
19025,Provide tool for manipulating order of objects on search path,Low-level,kevinushey,NEW,2026-03-23 21:04:42 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=19025
19026,Proposal for embedding API managing debugger state,Low-level,kevinushey,NEW,2026-03-23 21:34:12 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=19026
